time,open,high,low,close,tick_volume,spread,real_volume
2026-08-19 07:20:00,4352.34,4352.82,4350.8,4351.66,1483,8,0
2026-08-19 07:25:00,4351.71,4351.71,4350.24,4351.15,1078,9,0
2026-08-19 07:30:00,4351.15,4352.04,4349.61,4349.66,1534,8,0
2026-08-19 07:35:00,4349.64,4350.65,4346.49,4346.52,1417,8,0
2026-08-19 07:40:00,4346.55,4347.49,4344.92,4346.46,1438,10,0
2026-08-19 07:45:00,4346.49,4347.07,4345.82,4346.6,1110,8,0
2026-08-19 07:50:00,4346.59,4346.63,4343.77,4344.82,1297,9,0
2026-08-19 07:55:00,4344.81,4348.49,4344.4,4348.46,1499,8,0
2026-08-19 08:00:00,4348.44,4350.67,4346.26,4347.25,1763,10,0
2026-08-19 08:05:00,4347.35,4347.8,4342.35,4342.46,1929,9,0
2026-08-19 08:10:00,4342.57,4342.77,4338.7,4338.9,1695,10,0
2026-08-19 08:15:00,4338.89,4339.51,4336.66,4337.65,1679,9,0
2026-08-19 08:20:00,4337.64,4342.56,4337.41,4341.43,1538,7,0
2026-08-19 08:25:00,4341.44,4345.25,4340.47,4345.19,1438,9,0
2026-08-19 08:30:00,4345.33,4345.34,4336.85,4338.36,3092,8,0
2026-08-19 08:35:00,4338.44,4342.95,4336.73,4342.87,2393,8,0
2026-08-19 08:40:00,4342.88,4343.57,4339.89,4342.25,2204,9,0
2026-08-19 08:45:00,4342.21,4342.26,4335.18,4337.03,2439,8,0
2026-08-19 08:50:00,4337.03,4338.22,4335.02,4335.33,1163,7,0
2026-08-19 08:55:00,4335.33,4338.77,4335.13,4335.58,1730,10,0
2026-08-19 09:00:00,4335.6,4341.28,4335.21,4337.54,2025,8,0
2026-08-19 09:05:00,4337.63,4340.34,4335.31,4338.89,2587,8,0
2026-08-19 09:10:00,4338.89,4341.75,4337.04,4337.41,1904,8,0
2026-08-19 09:15:00,4337.39,4346.16,4336.81,4345.27,2246,8,0
2026-08-19 09:20:00,4345.16,4348.29,4344.71,4345.97,2249,8,0
2026-08-19 09:25:00,4346.1,4346.86,4340.5,4343.21,2316,10,0
2026-08-19 09:30:00,4343.21,4343.32,4337.02,4338.55,2630,9,0
2026-08-19 09:35:00,4338.56,4345.62,4338.54,4343.93,1803,8,0
2026-08-19 09:40:00,4343.95,4344.32,4341.45,4341.87,2447,8,0
2026-08-19 09:45:00,4341.86,4344.09,4340.73,4343.78,2581,9,0
2026-08-19 09:50:00,4343.78,4347.81,4343.78,4347.68,2350,11,0
2026-08-19 09:55:00,4347.68,4349.38,4347.34,4349.02,2743,8,0
2026-08-19 10:00:00,4349.05,4351.17,4347.4,4348.01,2566,8,0
2026-08-19 10:05:00,4348.02,4353.5,4347.79,4352.88,2152,9,0
2026-08-19 10:10:00,4352.89,4353.45,4349.82,4350.49,1900,8,0
2026-08-19 10:15:00,4350.44,4351.53,4347.42,4350.83,1771,8,0
2026-08-19 10:20:00,4350.57,4354.95,4348.97,4354.33,1441,8,0
2026-08-19 10:25:00,4354.33,4357.02,4353.97,4356.77,2088,8,0
2026-08-19 10:30:00,4356.73,4360.78,4356.32,4359.46,2138,7,0
2026-08-19 10:35:00,4359.2,4363.17,4357.19,4357.54,2296,8,0
2026-08-19 10:40:00,4357.54,4357.8,4352.71,4354.47,2110,8,0
2026-08-19 10:45:00,4354.45,4357.11,4354.19,4356.47,1564,7,0
2026-08-19 10:50:00,4356.47,4357.73,4354.79,4355.57,1895,8,0
2026-08-19 10:55:00,4355.55,4356.3,4354.61,4354.78,2023,8,0
2026-08-19 11:00:00,4354.81,4357.66,4350.99,4357.02,2961,7,0
2026-08-19 11:05:00,4357.13,4361.0,4356.18,4360.85,2675,8,0
2026-08-19 11:10:00,4360.83,4362.74,4359.97,4361.63,2294,8,0
2026-08-19 11:15:00,4361.64,4362.49,4359.8,4359.85,2012,8,0
2026-08-19 11:20:00,4359.78,4360.21,4357.34,4360.05,1858,8,0
2026-08-19 11:25:00,4360.05,4361.0,4358.21,4360.97,1598,8,0
